max_procs,avg_secs
1,8.705063
2,8.482222
3,7.690114
4,6.937359
5,6.843393
6,6.356650
7,6.201776
8,5.286871
9,5.571171
10,5.013709
11,4.204918
12,4.141054
13,4.112007
14,3.378861
15,2.916569
16,2.567900
17,2.214800
18,2.096355
19,1.896288
20,1.643615
