max_procs,avg_secs
1,8.020002
2,4.548242
3,3.480110
4,2.594763
5,2.424873
6,2.196714
7,2.029466
8,1.744731
9,1.782602
10,1.749533
11,1.745495
12,1.720446
13,1.704920
14,1.671075
15,1.640092
16,1.616395
17,1.705550
18,1.581476
19,1.717632
20,1.661616
