max_procs,avg_secs
1,5.056363
2,4.882592
3,4.512471
4,4.194719
5,4.019106
6,3.964546
7,3.618771
8,3.311088
9,2.932620
10,2.704214
11,2.665706
12,2.279024
13,1.857956
14,1.686587
15,1.430610
16,1.186069
17,0.926685
18,0.913991
19,0.554634
20,0.480984
