max_procs,avg_secs
1,5.256655
2,2.694079
3,1.766357
4,1.445140
5,1.168927
6,1.010350
7,0.915324
8,0.821976
9,0.740268
10,0.743734
11,0.679303
12,0.611806
13,0.594693
14,0.616858
15,0.523148
16,0.513437
17,0.490218
18,0.484064
19,0.477774
20,0.469792
