max_procs,avg_secs
1,5.008926
2,3.435052
3,2.635218
4,2.170791
5,1.633235
6,1.704761
7,1.304555
8,1.266888
9,1.213767
10,0.941505
11,0.918292
12,0.908029
13,0.898257
14,0.903698
15,0.918186
16,0.927840
17,0.847621
18,0.758836
19,0.694856
20,0.482825
