max_procs,avg_secs
1,5.281458
2,2.561157
3,1.823489
4,1.421881
5,1.166276
6,0.972979
7,0.905023
8,0.839338
9,0.736811
10,0.722300
11,0.639300
12,0.631751
13,0.617504
14,0.565208
15,0.555569
16,0.520666
17,0.490408
18,0.478952
19,0.477173
20,0.470158
