max_procs,avg_secs
1,8.593544
2,4.664056
3,3.084572
4,2.615248
5,2.378574
6,1.956103
7,1.824512
8,1.751944
9,1.669572
10,1.865722
11,1.627152
12,1.662219
13,1.737581
14,1.787372
15,1.722881
16,1.643458
17,1.686066
18,1.637928
19,1.629230
20,1.653428
