max_procs,avg_secs
1,4.853661
2,2.621394
3,1.771923
4,1.489546
5,1.139688
6,0.992361
7,0.871407
8,0.804043
9,0.777855
10,0.757541
11,0.655464
12,0.653467
13,0.585470
14,0.554471
15,0.517523
16,0.490160
17,0.504643
18,0.490569
19,0.496028
20,0.484501
