max_procs,avg_secs
1,5.235099
2,2.530727
3,1.897762
4,1.484674
5,1.203982
6,1.033292
7,0.909074
8,0.884154
9,0.840540
10,0.741052
11,0.668646
12,0.639000
13,0.614342
14,0.563908
15,0.570911
16,0.510638
17,0.497945
18,0.499241
19,0.477547
20,0.489179
