max_procs,avg_secs
1,9.019291
2,4.888280
3,3.305531
4,2.845478
5,2.420613
6,2.027350
7,1.926971
8,1.776066
9,1.804997
10,1.867211
11,1.802881
12,1.766888
13,1.603700
14,1.737064
15,1.634783
16,1.716586
17,1.567734
18,1.614899
19,1.683628
20,1.634153
