max_procs,avg_secs
1,5.001435
2,3.556742
3,2.926806
4,2.496939
5,2.421095
6,1.884582
7,1.655546
8,1.591854
9,1.586244
10,1.322643
11,1.162914
12,1.184151
13,0.894052
14,1.002789
15,0.879557
16,0.840273
17,0.788521
18,0.689158
19,0.548744
20,0.488298
