max_procs,avg_secs
1,4.704905
2,4.879036
3,4.927609
4,5.022832
5,5.088703
6,5.133728
7,4.912632
8,5.271179
9,5.141770
10,4.833730
11,4.982412
12,5.340351
13,4.770866
14,5.102616
15,4.872212
16,5.219360
17,4.985349
18,5.056326
19,4.883548
20,4.986951
