max_procs,avg_secs
1,4.826426
2,2.476820
3,1.734936
4,1.351636
5,1.125772
6,1.014065
7,0.929802
8,0.844532
9,0.796852
10,0.754237
11,0.658118
12,0.632233
13,0.600338
14,0.577324
15,0.496713
16,0.511328
17,0.485683
18,0.489316
19,0.480044
20,0.479849
