max_procs,avg_secs
1,8.496662
2,4.997162
3,3.437476
4,2.630774
5,2.377861
6,2.136903
7,1.887344
8,1.754370
9,1.734560
10,1.778524
11,1.696948
12,1.750252
13,1.678537
14,1.694793
15,1.632387
16,1.637419
17,1.653156
18,1.533550
19,1.643934
20,1.674208
