max_procs,avg_secs
1,8.464349
2,4.599283
3,3.665632
4,2.980619
5,2.481292
6,2.341650
7,2.134944
8,2.056224
9,1.923573
10,2.063744
11,1.834844
12,1.946394
13,1.864082
14,1.873121
15,1.834241
16,1.830881
17,1.853117
18,1.827473
19,1.881736
20,1.854109
