max_procs,avg_secs
1,4.723268
2,2.728833
3,1.721971
4,1.450776
5,1.186096
6,0.976849
7,0.960991
8,0.833245
9,0.806585
10,0.678579
11,0.697500
12,0.670240
13,0.580692
14,0.582758
15,0.530830
16,0.514561
17,0.491408
18,0.486202
19,0.478422
20,0.488055
