max_procs,avg_secs
1,4.928751
2,2.625862
3,1.776061
4,1.479367
5,1.155096
6,0.995316
7,0.916277
8,0.796137
9,0.770331
10,0.671125
11,0.675528
12,0.618233
13,0.612151
14,0.558687
15,0.535053
16,0.511427
17,0.496383
18,0.476028
19,0.479271
20,0.484900
